Fornitore;Articolo;OrAcq - Data Prevista Evasione;OrAcq - Data Effettiva Evasione;OrAcq - Numero Documento;Causale Documento;Pagamento Documento;Riga Evasa;OrAcq - Importo Generale 1;OrAcq - Importo Generale da evadere 1;OrAcq - Importo Generale Evaso 1
;;08 lug 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;739,44;739,44;0,00
;TEC-KTH00180;11 mar 2022;04 mar 2022;385;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;26,19;0,00;26,19
;TEC-KTH55195-R;10 mag 2022;16 mar 2022;266;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;0,00;0,00;0,00
;TEC-MH32768L;11 feb 2022;02 feb 2022;2178;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;12,57;0,00;12,57
;;12 feb 2022;02 feb 2022;38;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;25,14;0,00;25,14
;TEC-R1W2-33R 1%;14 gen 2022;18 gen 2022;2216;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;6,12;0,00;6,12
;TEC-R1W4_1K5;13 mag 2022;Non definito;2276;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;18,50;18,50;0,00
;TEC-R1W4-1K-1%;10 feb 2022;02 feb 2022;101;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;18,50;0,00;18,50
;TEC-R1W4_1K2;11 feb 2022;02 feb 2022;1958;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;18,50;0,00;18,50
;TEC-R5W_4R7;06 mag 2022;Non definito;2178;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;12,46;12,46;0,00
;;13 mag 2022;Non definito;101;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;12,69;12,69;0,00
;TEC-192990-2530;29 ott 2021;02 nov 2021;1677;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;513,21;0,00;513,21
;;11 mar 2022;04 mar 2022;340;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;1.045,44;0,00;1.045,44
;TEC-192990-2540;08 ott 2021;07 ott 2021;1677;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;513,21;0,00;513,21
;;14 gen 2022;18 gen 2022;2284;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;570,24;0,00;570,24
;;11 feb 2022;09 feb 2022;2284;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;570,24;0,00;570,24
;;11 mar 2022;04 mar 2022;340;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;1.200,96;0,00;1.200,96
;TEC-192990-2490;11 mar 2022;04 mar 2022;340;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Chiusa senza completa evasione;627,26;0,00;570,24
;TEC-192990-2500;08 ott 2021;07 ott 2021;1677;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;513,21;0,00;513,21
;;11 mar 2022;04 mar 2022;340;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;1.140,48;0,00;1.140,48
;TEC-192923-6030;24 set 2021;27 set 2021;1617;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;51,08;0,00;51,08
;;11 mar 2022;16 mar 2022;474;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;61,30;0,00;61,30
;;08 apr 2022;Non definito;474;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;120,38;120,38;0,00
;TEC-192923-5950;12 nov 2021;12 nov 2021;1958;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;95,62;0,00;95,62
;;26 nov 2021;30 nov 2021;1958;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;143,42;0,00;143,42
;TEC-192923-6040;11 mar 2022;04 mar 2022;340;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;84,50;0,00;84,50
;;25 mar 2022;24 mar 2022;520;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;105,62;0,00;105,62
;TEC-192923-5960;26 nov 2021;30 nov 2021;1958;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;146,45;0,00;146,45
;TEC-192990-0470;11 mar 2022;04 mar 2022;340;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;63,78;0,00;63,78
;TEC-192923-5920;11 mar 2022;04 mar 2022;340;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;59,75;0,00;59,75
;TEC-GLP00900;21 gen 2022;18 gen 2022;2065;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;66,96;0,00;66,96
;TEC-LE032220-R;08 ott 2021;07 ott 2021;1558;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;32,49;0,00;32,49
;TEC-LE008002-R;13 mag 2022;Non definito;449;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;28,20;28,20;0,00
;;08 lug 2022;Non definito;449;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;28,20;28,20;0,00
;TEC-LE008005-R;13 feb 2022;02 feb 2022;1640;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;14,10;0,00;14,10
;;08 apr 2022;Non definito;101;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;14,10;14,10;0,00
;;08 lug 2022;Non definito;449;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;14,10;14,10;0,00
;;09 set 2022;Non definito;449;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;28,22;28,22;0,00
;TEC-LE015005-R;04 feb 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Chiusa senza completa evasione;18,02;0,00;0,00
;;11 mar 2022;04 mar 2022;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Evasa;72,08;0,00;72,08
;;08 apr 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;72,08;72,08;0,00
;;13 mag 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;72,08;72,08;0,00
;;10 giu 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;72,08;72,08;0,00
;;08 lug 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;144,16;144,16;0,00
;;08 set 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;72,08;72,08;0,00
;;14 ott 2022;Non definito;1792;Ordine a Fornitore;Ricevuta Bancaria 90 df fm+10;Aperta;72,08;72,08;0,00
